ticket_id,std_type,district,subdistrict,province_clean,urgency,comment,comment_length,day_of_week,hour_of_day,day,month,year,lng,lat,SLA_days
2024-F4RYCY,cleaning,จตุจักร,จตุจักร,กรุงเทพมหานคร,mid,"ขณะขับรถผ่านพบเจอ

1.ขยะ จำนวนมากทิ้งเกลื่อนกลาดริมถนน ทั้ง 2 ฝั่ง
2.ถุงดำขนาดใหญ่ บรรจุขยะ กองอยู่เกาะกลางถนน เป็นระยะ

คาดว่าขยะดังกล่าวจะมาจากรถทัวร์ หรือรถตู้ ที่มาจอดพักรถ 

ขอให้เจ้าหน้าที่ช่วยประสานกับผู้เกี่ยวข้องด้วยค่ะ

ขอบคุณค่ะ",239,5,4,7,9,2024,100.54714,13.81489,11.866649166648148
2024-7D2NWC,unknown,จตุจักร,จตุจักร,กรุงเทพมหานคร,low,"เจ้าเดิมๆ ขายของ บนถนน เจ้าเดิมเลย กทม จะจัดการ ยังไงดี ขอความร่วมมือ ไปกี่รอบ ก็วนกลับมา

ตำรวจ สน ที่เกี่ยวข้อง อย่าง บางซื่อ ต้องจีบ ปรับ นะ ควรแก้ไข อย่างยั่งยืน ไม่ใช่ ขอไปที รู้ไหมตอนเย็น รถมันติดแต่ไหน เพราะ เข้ามาส่งคนไม่ได้?",233,4,7,13,12,2024,100.55467,13.80388,90.06795582402778
2024-E4Z6EB,road,บางรัก,สีลม,กรุงเทพมหานคร,high,ด่วน จอดรถทั้งสองฝั่งถนนติดขัดมากแม้ว่าจะเป็นวันอาทิตย์ก็ตาม ตำรวจมาดูหน่อยครับ,79,6,4,1,9,2024,100.53512,13.72395,12.46195016349537
2024-GAHN9E,lighting,ธนบุรี,วัดกัลยาณ์,กรุงเทพมหานคร,high,ไฟส่องสว่างตอนกลางคืนมืดมาก ตรงข้าม รร.ศึกษานารี ตรงวงเวียนนาฬิกาสนง.เขตคลองสาน,79,3,23,29,8,2024,100.49571,13.73448,73.68319893052893
2025-DQMZP7,road,ราชเทวี,มักกะสัน,กรุงเทพมหานคร,high,"วันพุธที่ 8 ม.ค.. ช่วงเที่ยง   12:35
ถนน นานาเหนือ พบรถ 3 คัน  ฝ่าฝืนจอดช่องซ้ายในเขตพื้นที่ใช้บังคับ ล้อ ตลอดเวลา  1 จาก 4 ช่องจราจรใช้ไม่ได้ 25%,  รถติดมาก เลี้ยวซ้ายไม่ผ่านตลอด ขอเจ้าหน้าที่ มา ช่วงเย็นๆ  จับปรับ ตาม พรบ จราจรทางบก พ.ศ.2567 ค่ะ",247,2,7,8,1,2025,100.55437,13.74904,12.46195016349537
2024-37U7ZG,road,สายไหม,ออเงิน,กรุงเทพมหานคร,high,ถนนเป็นหลุม รถผมเสียหายต้องเปลี่ยนยางใหม่,41,1,10,13,8,2024,100.6912,13.89659,12.46195016349537
2024-H3YL2F,road,ลาดกระบัง,ลำปลาทิว,กรุงเทพมหานคร,high,"แจ้งน้ำท่วมขังบริเวณถนนฉลองกรุง ฝั่งตรงข้ามเยื้องๆซอยฉลองกรุง2  เวลาที่ฝนตกทุกครั้งจะมีน้ำท่วมขังบริเวณ2 ช่องจราจรด้านขวา จึง ยากจะขอให้ทางเขตลาดกระบัง ช่วยดำเนินการแก้ไขปัญหาน้ำท่วมขังบริเวณดังกล่าวด้วยครับ
ขอบคุณมากครับ ความสูงระดับข้อเท้า น้ำท่วมมาแล้วน้อยกว่า 3 ชั่วโมง",273,2,2,21,8,2024,100.78908,13.73732,12.46195016349537
2024-6Q3WQP,unknown,ปทุมวัน,รองเมือง,กรุงเทพมหานคร,low,ติดตาม เรื่องขอคัดถ่ายสำเนาหนังสือคัดค้านโครงการก่อสร้างที่พักอาศัยมารุจุฬา ซึ่งทางผู้ค้ดค้านได้ยี่นเรื่องไว้แล้ว,113,0,9,9,12,2024,100.52096,13.74047,90.06795582402778
2024-NUH6VV,flood,จตุจักร,จันทรเกษม,กรุงเทพมหานคร,high,ท่อระบายน้ำอุดตันมีน้ำท่วมขังบนผิวทาง ถนนลื่น อันตรายมาก,56,2,0,4,12,2024,100.58118,13.80923,11.670945969684022
2024-7D9CFX,lighting,ลาดพร้าว,ลาดพร้าว,กรุงเทพมหานคร,high,เปลี่ยนหลอดไฟริมถนนด้วยครับ เสา จ 147 โชคชัย4 ซอย 43,52,0,14,16,9,2024,100.59633,13.81168,73.68319893052893
